case_id,model,setting,gold,pred,correct,requested_model,returned_model,raw_output,latency,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,attempts,error
1,qwen3.8-max,S4,C,C,True,qwen3.8-max,qwen3.8-max,C,10.875,685,331,327,1016,1,
1,qwen3.8-max,S5,C,C,True,qwen3.8-max,qwen3.8-max,C,10.864,685,338,334,1023,1,
1,qwen3.8-max,S6,C,C,True,qwen3.8-max,qwen3.8-max,C,10.648,685,311,308,996,1,
2,qwen3.8-max,S4,B,B,True,qwen3.8-max,qwen3.8-max,B,21.44,718,746,742,1464,1,
2,qwen3.8-max,S5,B,B,True,qwen3.8-max,qwen3.8-max,B,20.53,718,721,717,1439,1,
2,qwen3.8-max,S6,B,B,True,qwen3.8-max,qwen3.8-max,B,27.747,718,1094,1090,1812,1,
3,qwen3.8-max,S4,C,A,False,qwen3.8-max,qwen3.8-max,A,7.173,573,265,261,838,1,
3,qwen3.8-max,S5,C,A,False,qwen3.8-max,qwen3.8-max,A,15.893,573,607,603,1180,1,
3,qwen3.8-max,S6,C,C,True,qwen3.8-max,qwen3.8-max,C,6.971,573,244,240,817,1,
4,qwen3.8-max,S4,C,C,True,qwen3.8-max,qwen3.8-max,C,5.352,671,191,187,862,1,
4,qwen3.8-max,S5,C,C,True,qwen3.8-max,qwen3.8-max,C,12.74,671,451,448,1122,1,
4,qwen3.8-max,S6,C,C,True,qwen3.8-max,qwen3.8-max,C,7.555,671,229,225,900,1,
5,qwen3.8-max,S4,B,B,True,qwen3.8-max,qwen3.8-max,B,18.973,653,768,764,1421,1,
5,qwen3.8-max,S5,B,B,True,qwen3.8-max,qwen3.8-max,B,16.348,653,562,558,1215,1,
5,qwen3.8-max,S6,B,B,True,qwen3.8-max,qwen3.8-max,B,19.913,653,773,769,1426,1,
6,qwen3.8-max,S4,A,C,False,qwen3.8-max,qwen3.8-max,C,16.615,697,585,582,1282,1,
6,qwen3.8-max,S5,A,C,False,qwen3.8-max,qwen3.8-max,C,13.114,697,499,495,1196,1,
6,qwen3.8-max,S6,A,C,False,qwen3.8-max,qwen3.8-max,C,17.736,697,664,661,1361,1,
7,qwen3.8-max,S4,A,A,True,qwen3.8-max,qwen3.8-max,A,7.236,654,269,265,923,1,
7,qwen3.8-max,S5,A,A,True,qwen3.8-max,qwen3.8-max,A,4.679,654,162,158,816,1,
7,qwen3.8-max,S6,A,A,True,qwen3.8-max,qwen3.8-max,A,5.646,654,182,178,836,1,
8,qwen3.8-max,S4,C,C,True,qwen3.8-max,qwen3.8-max,C,21.176,507,790,786,1297,1,
8,qwen3.8-max,S5,C,A,False,qwen3.8-max,qwen3.8-max,A,5.432,507,184,181,691,1,
8,qwen3.8-max,S6,C,C,True,qwen3.8-max,qwen3.8-max,C,17.77,507,651,647,1158,1,
9,qwen3.8-max,S4,C,C,True,qwen3.8-max,qwen3.8-max,C,8.663,711,292,289,1003,1,
9,qwen3.8-max,S5,C,C,True,qwen3.8-max,qwen3.8-max,C,9.337,711,314,310,1025,1,
9,qwen3.8-max,S6,C,C,True,qwen3.8-max,qwen3.8-max,C,8.548,711,303,299,1014,1,
10,qwen3.8-max,S4,C,C,True,qwen3.8-max,qwen3.8-max,C,26.85,719,980,976,1699,1,
10,qwen3.8-max,S5,C,A,False,qwen3.8-max,qwen3.8-max,A,13.655,719,435,432,1154,1,
10,qwen3.8-max,S6,C,B,False,qwen3.8-max,qwen3.8-max,B,28.253,719,1022,1018,1741,1,
