case_id,model,setting,gold,pred,correct,requested_model,returned_model,raw_output,latency,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,attempts,error
1,glm-5.3,S1,C,C,True,glm-5.3,glm-5.3,C,5.292,619,14,11,633,1,
1,glm-5.3,S2,C,C,True,glm-5.3,glm-5.3,C,5.375,586,18,15,604,1,
1,glm-5.3,S3,C,C,True,glm-5.3,glm-5.3,C,5.548,604,33,29,637,1,
2,glm-5.3,S1,B,B,True,glm-5.3,glm-5.3,B,6.516,663,79,75,742,1,
2,glm-5.3,S2,B,B,True,glm-5.3,ZHIPU/GLM-5.3,B,8.63,631,72,68,703,1,
2,glm-5.3,S3,B,B,True,glm-5.3,glm-5.3,B,3.879,649,80,77,729,1,
3,glm-5.3,S1,C,C,True,glm-5.3,glm-5.3,C,2.879,544,26,23,570,1,
3,glm-5.3,S2,C,C,True,glm-5.3,glm-5.3,C,3.037,510,29,26,539,1,
3,glm-5.3,S3,C,A,False,glm-5.3,glm-5.3,A,3.993,528,48,44,576,1,
4,glm-5.3,S1,C,C,True,glm-5.3,glm-5.3,C,2.331,647,3,0,650,1,
4,glm-5.3,S2,C,C,True,glm-5.3,glm-5.3,C,3.201,617,3,0,620,1,
4,glm-5.3,S3,C,C,True,glm-5.3,glm-5.3,C,3.145,635,3,0,638,1,
5,glm-5.3,S1,B,B,True,glm-5.3,ZHIPU/GLM-5.3,B,5.579,608,3,0,611,1,
5,glm-5.3,S2,B,B,True,glm-5.3,glm-5.3,B,3.358,579,52,48,631,1,
5,glm-5.3,S3,B,B,True,glm-5.3,glm-5.3,B,3.416,597,31,28,628,1,
6,glm-5.3,S1,A,A,True,glm-5.3,glm-5.3,A,2.095,647,3,0,650,1,
6,glm-5.3,S2,A,C,False,glm-5.3,glm-5.3,C,3.116,620,40,37,660,1,
6,glm-5.3,S3,A,C,False,glm-5.3,glm-5.3,C,4.484,638,34,31,672,1,
7,glm-5.3,S1,A,A,True,glm-5.3,glm-5.3,A,3.558,625,3,0,628,1,
7,glm-5.3,S2,A,A,True,glm-5.3,glm-5.3,A,3.838,598,3,0,601,1,
7,glm-5.3,S3,A,A,True,glm-5.3,glm-5.3,A,3.983,616,3,0,619,1,
8,glm-5.3,S1,C,C,True,glm-5.3,ZHIPU/GLM-5.3,C,6.43,456,51,48,507,1,
8,glm-5.3,S2,C,B,False,glm-5.3,glm-5.3,B,3.516,430,29,26,459,1,
8,glm-5.3,S3,C,A,False,glm-5.3,glm-5.3,A,6.016,448,83,80,531,1,
9,glm-5.3,S1,C,C,True,glm-5.3,glm-5.3,C,3.169,699,3,0,702,1,
9,glm-5.3,S2,C,C,True,glm-5.3,glm-5.3,C,3.63,666,23,19,689,1,
9,glm-5.3,S3,C,C,True,glm-5.3,glm-5.3,C,3.504,684,45,41,729,1,
10,glm-5.3,S1,C,A,False,glm-5.3,glm-5.3,A,3.756,648,3,0,651,1,
10,glm-5.3,S2,C,C,True,glm-5.3,glm-5.3,C,4.714,621,25,21,646,1,
10,glm-5.3,S3,C,B,False,glm-5.3,ZHIPU/GLM-5.3,B,4.27,639,41,38,680,1,
11,glm-5.3,S1,A,A,True,glm-5.3,glm-5.3,A,8.137,581,40,36,621,1,
11,glm-5.3,S2,A,B,False,glm-5.3,glm-5.3,B,6.749,542,3,0,545,1,
11,glm-5.3,S3,A,A,True,glm-5.3,glm-5.3,A,8.018,560,54,51,614,1,
